127.0.0.1, 2022-10-26 15:42:27, GET, /, HTTP/1.1, 303, 0.054989
127.0.0.1, 2022-10-26 15:42:28, GET, /welcome/default/index, HTTP/1.1, 200, 1.075814
127.0.0.1, 2022-10-26 15:42:28, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2022-10-26 15:42:28, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000999
127.0.0.1, 2022-10-26 15:42:28, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2022-10-26 15:42:28, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001999
127.0.0.1, 2022-10-26 15:42:28, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001999
127.0.0.1, 2022-10-26 15:42:28, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2022-10-26 15:42:28, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2022-10-26 15:42:28, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2022-10-26 15:42:29, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2022-10-26 15:42:29, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001998
127.0.0.1, 2022-10-26 15:46:06, GET, /examples/default/index, HTTP/1.1, 200, 0.140973
127.0.0.1, 2022-10-26 15:46:06, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.035987
127.0.0.1, 2022-10-26 15:46:06, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.018996
127.0.0.1, 2022-10-26 15:46:06, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.031995
127.0.0.1, 2022-10-26 15:46:06, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.032993
127.0.0.1, 2022-10-26 15:46:06, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.095982
127.0.0.1, 2022-10-26 15:46:07, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.080985
127.0.0.1, 2022-10-26 15:46:07, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.141976
127.0.0.1, 2022-10-26 15:46:07, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.013998
127.0.0.1, 2022-10-26 15:46:07, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.011999
127.0.0.1, 2022-10-26 15:46:07, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.017997
127.0.0.1, 2022-10-26 15:46:07, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.010997
127.0.0.1, 2022-10-26 15:46:07, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.011998
127.0.0.1, 2022-10-26 15:46:07, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.003999
127.0.0.1, 2022-10-26 15:46:15, GET, /welcome/default/index, HTTP/1.1, 200, 0.076984
127.0.0.1, 2022-10-26 15:48:51, GET, /, HTTP/1.1, 303, 0.003999
127.0.0.1, 2022-10-26 15:48:51, GET, /welcome/default/index, HTTP/1.1, 200, 0.233957
127.0.0.1, 2022-10-26 15:48:51, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2022-10-26 15:48:57, GET, /admin, HTTP/1.1, 200, 0.351939
127.0.0.1, 2022-10-26 15:48:57, GET, /admin/static/_2.22.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.009999
127.0.0.1, 2022-10-26 15:48:57, GET, /admin/static/_2.22.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.051991
127.0.0.1, 2022-10-26 15:48:57, GET, /admin/static/_2.22.5/js/calendar.js, HTTP/1.1, 200, 0.062988
127.0.0.1, 2022-10-26 15:48:57, GET, /admin/static/_2.22.5/css/calendar.css, HTTP/1.1, 200, 0.068988
127.0.0.1, 2022-10-26 15:48:57, GET, /admin/static/_2.22.5/js/web2py.js, HTTP/1.1, 200, 0.067988
127.0.0.1, 2022-10-26 15:48:57, GET, /admin/static/_2.22.5/js/jquery.js, HTTP/1.1, 200, 0.101980
127.0.0.1, 2022-10-26 15:48:57, GET, /admin/static/_2.22.5/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.019996
127.0.0.1, 2022-10-26 15:48:57, GET, /admin/static/_2.22.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.032995
127.0.0.1, 2022-10-26 15:48:57, GET, /admin/static/_2.22.5/css/bootstrap.min.css, HTTP/1.1, 200, 0.038993
127.0.0.1, 2022-10-26 15:48:57, GET, /admin/static/_2.22.5/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.036994
127.0.0.1, 2022-10-26 15:48:57, GET, /admin/static/_2.22.5/plugin_multiselect/start.js, HTTP/1.1, 200, 0.033999
127.0.0.1, 2022-10-26 15:48:57, GET, /admin/static/_2.22.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.036994
127.0.0.1, 2022-10-26 15:48:57, GET, /admin/static/_2.22.5/js/bootstrap.min.js, HTTP/1.1, 200, 0.052991
127.0.0.1, 2022-10-26 15:48:57, GET, /admin/static/_2.22.5/images/questions.png, HTTP/1.1, 200, 0.012995
127.0.0.1, 2022-10-26 15:48:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-10-26 15:49:03, POST, /admin/default/index, HTTP/1.1, 303, 0.033994
127.0.0.1, 2022-10-26 15:49:03, GET, /admin/default/site, HTTP/1.1, 200, 0.119979
127.0.0.1, 2022-10-26 15:49:03, GET, /admin/static/_2.22.5/images/folder.png, HTTP/1.1, 200, 0.028995
127.0.0.1, 2022-10-26 15:49:03, GET, /admin/static/_2.22.5/images/folder_locked.png, HTTP/1.1, 200, 0.032994
127.0.0.1, 2022-10-26 15:49:03, GET, /admin/static/_2.22.5/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.013997
127.0.0.1, 2022-10-26 15:49:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000999
127.0.0.1, 2022-10-26 15:49:04, POST, /admin/default/check_version, HTTP/1.1, 200, 0.680881
127.0.0.1, 2022-10-26 15:49:39, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.219961
127.0.0.1, 2022-10-26 15:49:39, GET, /admin/static/_2.22.5/images/search.png, HTTP/1.1, 200, 0.018992
127.0.0.1, 2022-10-26 15:49:39, GET, /admin/static/_2.22.5/images/test_icon.png, HTTP/1.1, 200, 0.011000
127.0.0.1, 2022-10-26 15:49:39, GET, /admin/static/_2.22.5/images/delete_icon.png, HTTP/1.1, 200, 0.012997
127.0.0.1, 2022-10-26 15:49:39, GET, /admin/static/_2.22.5/images/help.png, HTTP/1.1, 200, 0.014996
127.0.0.1, 2022-10-26 15:49:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-10-26 15:49:51, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.157972
127.0.0.1, 2022-10-26 15:49:52, GET, /admin/static/_2.22.5/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.035992
127.0.0.1, 2022-10-26 15:49:52, GET, /admin/static/_2.22.5/codemirror/theme/twilight.css, HTTP/1.1, 200, 0.033989
127.0.0.1, 2022-10-26 15:49:52, GET, /admin/static/_2.22.5/codemirror/keymap/sublime.js, HTTP/1.1, 200, 0.036990
127.0.0.1, 2022-10-26 15:49:52, GET, /admin/static/_2.22.5/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.022995
127.0.0.1, 2022-10-26 15:49:52, GET, /admin/static/_2.22.5/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.034994
127.0.0.1, 2022-10-26 15:49:52, GET, /admin/static/_2.22.5/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.011995
127.0.0.1, 2022-10-26 15:49:52, GET, /admin/static/_2.22.5/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.027996
127.0.0.1, 2022-10-26 15:49:52, GET, /admin/static/_2.22.5/css/web2py-codemirror.css, HTTP/1.1, 200, 0.034993
127.0.0.1, 2022-10-26 15:49:52, GET, /admin/static/_2.22.5/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.123979
127.0.0.1, 2022-10-26 15:49:52, GET, /admin/static/_2.22.5/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.132978
127.0.0.1, 2022-10-26 15:49:52, GET, /admin/static/_2.22.5/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.114981
127.0.0.1, 2022-10-26 15:49:52, GET, /admin/static/_2.22.5/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.070987
127.0.0.1, 2022-10-26 15:49:52, GET, /admin/static/_2.22.5/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.035995
127.0.0.1, 2022-10-26 15:49:52, GET, /admin/static/_2.22.5/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.072988
127.0.0.1, 2022-10-26 15:49:52, GET, /admin/static/_2.22.5/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.033993
127.0.0.1, 2022-10-26 15:49:52, GET, /admin/static/_2.22.5/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.218959
127.0.0.1, 2022-10-26 15:49:52, GET, /admin/static/_2.22.5/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.103982
127.0.0.1, 2022-10-26 15:49:52, GET, /admin/static/_2.22.5/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.082986
127.0.0.1, 2022-10-26 15:49:52, GET, /admin/static/_2.22.5/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.050991
127.0.0.1, 2022-10-26 15:49:52, GET, /admin/static/_2.22.5/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.046992
127.0.0.1, 2022-10-26 15:49:52, GET, /admin/static/_2.22.5/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.037991
127.0.0.1, 2022-10-26 15:49:52, GET, /admin/static/_2.22.5/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.020997
127.0.0.1, 2022-10-26 15:49:52, GET, /admin/static/_2.22.5/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.035995
127.0.0.1, 2022-10-26 15:49:52, GET, /admin/static/_2.22.5/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.027995
127.0.0.1, 2022-10-26 15:49:52, GET, /admin/static/_2.22.5/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.057990
127.0.0.1, 2022-10-26 15:49:52, GET, /admin/static/_2.22.5/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.080984
127.0.0.1, 2022-10-26 15:49:52, GET, /admin/static/_2.22.5/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.067986
127.0.0.1, 2022-10-26 15:49:52, GET, /admin/static/_2.22.5/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.026994
127.0.0.1, 2022-10-26 15:49:52, GET, /admin/static/_2.22.5/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.025995
127.0.0.1, 2022-10-26 15:49:52, GET, /admin/static/_2.22.5/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.098983
127.0.0.1, 2022-10-26 15:49:52, GET, /admin/static/_2.22.5/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.101983
127.0.0.1, 2022-10-26 15:49:52, GET, /admin/static/_2.22.5/js/typeahead.min.js, HTTP/1.1, 200, 0.049990
127.0.0.1, 2022-10-26 15:49:52, GET, /admin/static/_2.22.5/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.104981
127.0.0.1, 2022-10-26 15:49:52, GET, /admin/static/_2.22.5/js/ajax_editor.js, HTTP/1.1, 200, 0.103981
127.0.0.1, 2022-10-26 15:49:52, GET, /admin/static/_2.22.5/codemirror/emmet.min.js, HTTP/1.1, 200, 0.119980
127.0.0.1, 2022-10-26 15:49:52, GET, /admin/static/_2.22.5/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.041994
127.0.0.1, 2022-10-26 15:49:52, GET, /admin/static/_2.22.5/images/files_toggle.png, HTTP/1.1, 200, 0.009998
010997
127.0.0.1, 2022-10-26 15:49:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-10-26 15:49:52, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.094983
127.0.0.1, 2022-10-26 15:49:52, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.141975
127.0.0.1, 2022-10-26 15:49:52, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.202960
127.0.0.1, 2022-10-26 15:49:52, GET, /admin/static/_2.22.5/images/save_icon.png, HTTP/1.1, 200, 0.098982
127.0.0.1, 2022-10-26 15:49:53, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.324944
127.0.0.1, 2022-10-26 15:49:53, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.385933
127.0.0.1, 2022-10-26 15:49:53, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.443925
127.0.0.1, 2022-10-26 15:50:01, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.108981
127.0.0.1, 2022-10-26 15:50:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-10-26 15:51:13, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.037993
127.0.0.1, 2022-10-26 15:51:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000999
127.0.0.1, 2022-10-26 15:51:13, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.081984
127.0.0.1, 2022-10-26 15:51:14, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.142977
127.0.0.1, 2022-10-26 15:51:14, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.160972
127.0.0.1, 2022-10-26 15:51:14, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.191964
127.0.0.1, 2022-10-26 15:51:14, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.106982
127.0.0.1, 2022-10-26 15:51:14, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.803861
127.0.0.1, 2022-10-26 15:51:25, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.103981
127.0.0.1, 2022-10-26 15:51:26, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2022-10-26 15:51:28, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.035994
127.0.0.1, 2022-10-26 15:51:28, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.047994
127.0.0.1, 2022-10-26 15:51:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-10-26 15:51:28, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.160974
127.0.0.1, 2022-10-26 15:51:28, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.197973
127.0.0.1, 2022-10-26 15:51:28, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.217960
127.0.0.1, 2022-10-26 15:51:28, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.159973
127.0.0.1, 2022-10-26 15:51:29, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.805862
127.0.0.1, 2022-10-26 15:51:32, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.102982
127.0.0.1, 2022-10-26 15:51:32, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2022-10-26 15:52:35, GET, /admin/default/index, HTTP/1.1, 303, 0.031994
127.0.0.1, 2022-10-26 15:52:36, GET, /admin/default/site, HTTP/1.1, 200, 0.247956
127.0.0.1, 2022-10-26 15:52:36, GET, /favicon.ico, HTTP/1.1, 400, 0.001999
127.0.0.1, 2022-10-26 15:52:51, POST, /admin/default/site, HTTP/1.1, 303, 0.244958
127.0.0.1, 2022-10-26 15:52:51, GET, /admin/default/design/projeto_teste, HTTP/1.1, 200, 0.626892
127.0.0.1, 2022-10-26 15:52:52, GET, /favicon.ico, HTTP/1.1, 400, 0.001001
127.0.0.1, 2022-10-26 15:53:00, GET, /projeto_teste/appadmin/d3_graph_model, HTTP/1.1, 200, 0.583899
